phase,department,sales_2026,sales_2025,delta,yoy,baseline_status
Full Campaign,BAKERY,136892.0,161348.0,-24456.0,-0.15157299749609543,Comparable
Full Campaign,CARNITAS,424505.0,377827.0,46678.0,0.12354331479751313,Comparable
Full Campaign,FROZEN,126453.0,0.0,126453.0,,No 2025 baseline
Full Campaign,GROCERY,20839.0,17829.0,3010.0,0.16882606988614057,Comparable
Full Campaign,KITCHEN,300450.0,156649.0,143801.0,0.9179822405505302,Comparable
Full Campaign,MEAT,1493269.0,1605495.0,-112226.0,-0.06990118312420779,Comparable
Full Campaign,NON GROCERY,17077.0,7212.0,9865.0,1.3678591236827509,Comparable
Live Campaign,BAKERY,114279.0,131073.0,-16794.0,-0.12812707422581304,Comparable
Live Campaign,CARNITAS,351606.0,302718.0,48888.0,0.16149683864190445,Comparable
Live Campaign,FROZEN,103036.0,0.0,103036.0,,No 2025 baseline
Live Campaign,GROCERY,16618.0,13414.0,3204.0,0.23885492768749073,Comparable
Live Campaign,KITCHEN,242588.0,124390.0,118198.0,0.9502210788648606,Comparable
Live Campaign,MEAT,1260642.0,1298933.0,-38291.0,-0.029478810685385604,Comparable
Live Campaign,NON GROCERY,15033.0,5380.0,9653.0,1.7942379182156132,Comparable
